GLN Proveedor CPP                  Descripción                                                                   GTIN13 Pide x unid Unid/c 
7737001220016 0977719              OREO 12 X 333 GR.                                                      7794600000531 N               12 
7737001220016 0977740              OREO CHOCOLATE 36 X 111 GR.                                            7794600459124 N               36 
7737001220016 0977793              CLIGHT NARANJA 16X18SB.X9,7GR.                                         7790050001166 N              288 
7737001220016 0977794              CLIGHT POM. ROS 16X18SBX10,6GR                                         7790050001258 N              288 
7737001220016 0977797              CLIGHT PERA 16X18X7,8GR                                                7790050986449 N              288 
7737001220016 0977799              CLIGHT DUO POM/LIM 16X18X9,4GR                                         7790050987033 N              288 
7737001220016 0977800              CLIGHT DUO MGO/PERA 16X18X9,4G                                         7790050987019 N              288 
7737001220016 0977802              CLIGHT MANZ.DELIC.16X18SBX7,5G                                         7790050985671 N              288 
7737001220016 0977803              CLIGHT NJA. DULCE 16X18X8,7GR                                          7790050985992 N              288 
7737001220016 0977830              VERAO NARANJA 12X14SB.X35GR.                                           7790050985725 N              168 
7737001220016 0977831              VERAO NAR-BANANA 12X14SBX35GR                                          7790050985763 N              168 
7737001220016 0979009              OREO BANADA BIPACK 20X34GR                                             7794600459933 N               20 
7737001220016 0979010              OREO BANADA BIPACK BCO 20X34 G                                         7794600459940 N               20 
7737001220016 0979214              MOUSSE CHOCOLATE 8 X 6 X 65 GR                                         7793333941234 N               48 
7737001220016 0979240              FLAN DOBLE CHOCOLATE 48X170 GR                                         7793333231038 N               48 
7737001220016 0979241              FLAN ROYAL DOBLE VAI 48X120 GR                                         7793333231069 N               48 
7737001220016 0979242              FLAN ROYAL DOBLE DDL 48X120 GR                                         7793333231236 N               48 
7737001220016 0979243              FLAN DOBLE VAI.C/CAR 40X155 GR                                         7793333241068 N               40 
7737001220016 0979244              GELATINA DOBLE FRU 48X170 GRS                                          7793333351040 N               48 
7737001220016 0979245              GELATINA DOBLE CER 48X170 GRS                                          7793333351088 N               48 
7737001220016 0979247              GELATINA DOBLE DUR 48X170 GRS                                          7793333351224 N               48 
7737001220016 0979248              GELATINA DOBLE FRA 48X170 GRS                                          7793333351279 N               48 
7737001220016 0979249              GELATINA DOBLE MAN 48X170 GRS                                          7793333351095 N               48 
7737001220016 0979252              POSTRE DOBLE CAR 48X200 GRS                                            7793333221022 N               48 
7737001220016 0979253              POSTRE DOBLE CHO 48X200 GRS                                            7793333221039 N               48 
7737001220016 0979254              POSTRE DOBLE VAI 48X200 GRS                                            7793333221060 N               48 
7737001220016 0979316              TANG NARANJA FRUT 168X35 GRS                                           7730110760190 N              168 
7737001220016 0979317              TANG MZNA FRUTRICION 168X35 G                                          7730110760220 N              168 
7737001220016 0979318              TANG LIMON FRUTRICION 168X35 G                                         7730110760213 N              168 
7737001220016 0979319              TANG DURAZNO FRUT 168 X 35 GRS                                         7730110760206 N              168 
7737001220016 0979320              TANG NAR/MANGO FRUT 168X35GRS                                          7730110760237 N              168 
7737001220016 0979321              TANG CITRIX MIX FRUT 168X35 GR                                         7730110760251 N              168 
7737001220016 0979322              TANG NA/BA/F FRUT 168 X 35 GRS                                         7730110760244 N              168 
7737001220016 0980557              POLVO HORNEAR ROYAL 240X20 GRS                                         7730110120635 N              240 
7737001220016 0980558              POLVO HORNEAR ROYAL 120X100 GR                                         7702054088401 N              120 
7737001220016 0980559              POLVO HORNEAR ROYAL 60X200 GRS                                         7730110120611 N               60 
7737001220016 0980560              CHANTILLY ROYAL 48X100 GRS                                             7730110137046 N               48 
7737001220016 0980563              GELATINA CHICA CER 60X85 GRS                                           7730110121106 N               60 
7737001220016 0980564              GELATINA CHICA FRUT 60X85 GRS                                          7730110121113 N               60 
7737001220016 0980565              GELATINA GRANEL CER 10X1 KG                                            7730110133017 N               10 
7737001220016 0980566              GELATINA GRANEL FRU 10X1 KG                                            7730110133024 N               10 
7737001220016 0980567              POSTRE ROYAL CH CAR 60X100 GRS                                         7730110133543 N               60 
7737001220016 0980568              POSTRE ROYAL CH CHO 60X100 GRS                                         7730110121250 N               60 
7737001220016 0980569              POSTRE ROYAL CH VAI 60X100 GRS                                         7730110135561 N               60 
7737001220016 0980570              POSTRE GRANEL CHOC 10X1 KG                                             7730110134526 N               10 
7737001220016 0980571              POSTRE GRANEL VAI 10X1 KG                                              7730110134533 N               10 
7737001220016 0980572              FLAN ROYAL CHICO VAIN                                                  7730110135004 N               60 
7737001220016 0980573              FLAN ROYAL GRANEL VAI 10X1 HG                                          7730110136001 N               10 
7737001220016 0980575              BIZCOCHUELO CHOC 20X460 GRS                                            7730110139088 N               20 
7737001220016 0980576              BIZCOCHUELO VAINILLA 20X450 GR                                         7730110139071 N               20 
7737001220016 0980577              BIZCOCHUELO NARANJA 20X450 GRS                                         7730110139095 N               20 
7737001220016 0980578              ROYARINA CH D.NCARAM 144X33 GR                                         7730110124015 N              144 
7737001220016 0980580              ROYARINA CH D.NVAI 144X27 GRS                                          7730110124046 N              144 
7737001220016 0980581              ROYARINA DOB D.NCARAM 96X66 GR                                         7730110124053 N               96 
7737001220016 0980585              ROYARINA DOB D.NVAI 96X54 GRS                                          7730110124077 N               96 
7737001220016 0980587              ROYARINA DOB DDL 96X60 GRS                                             7730110140541 N               96 
7737001220016 0980588              FLAN ROYARINA D.N CH 144X27 GR                                         7730110124213 N              144 
7737001220016 0980589              FLAN ROYARINA DN DOB 96X54 GRS                                         7730110124220 N               96 
7737001220016 0980591              FLAN ROYARINA DN DDL 96X54 GRS                                         7730110141609 N               96 
7737001220016 0980593              GELATINA ROYARINA CER 96X50 GR                                         7730110141814 N               96 
7737001220016 0980595              GELAT ROYARINA FRU 96X50 GRS                                           7730110141821 N               96 
7737001220016 0980597              GELATINA ROYARINA DUR 96X50 GR                                         7730110141883 N               96 
7737001220016 0980599              SALSA BLANCA DN SOBRE 72X75 GR                                         7730110124800 N               72 
7737001220016 0980601              SALSA BLCA DN CH 96X35 GRS                                             7730110143559 N               96 
7737001220016 0980602              PURE INST ROYARINA DN 48X125 G                                         7730110143603 N               48 
7737001220016 0980603              SODA CRACKER 25X300 GRS                                                7730110220366 N               25 
7737001220016 0980605              SALVADO NATURAL 50X160 GRS                                             7730110210589 N               50 
7737001220016 0980608              MARIA MINIAT ANSELMI 36X200 GR                                         7730110000371 N               36 
7737001220016 0980609              MARIA MINIAT ANSELMI 72X100 GR                                         7730110000456 N               72 
7737001220016 0980610              SOLAR MINI 56X100 GRS                                                  7730110221028 N               56 
7737001220016 0980611              SOLAR 32 X 195 GRS                                                     7730110221011 N               32 
7737001220016 0980616              AGUA REDONDITAS 18 X 250 GRS                                           7730110310074 N               18 
7737001220016 0980617              SALVADO FAMOSA 16 X 400 GRS                                            7730110311521 N               16 
7737001220016 0980618              MALTEADA FAMOSA 16 X 300 GRS                                           7730110311675 N               16 
7737001220016 0980619              S/SAL MALTEADA FAMOSA 16X300 G                                         7730110311743 N               16 
7737001220016 0980620              SALVADO S/SAL FAMOSA 16X400 GR                                         7730110311927 N               16 
7737001220016 0980622              MARIA 72 X 100 GRS                                                     7730110321834 N               72 
7737001220016 0980624              MARIA 24 X 300 GRS                                                     7730110320288 N               24 
7737001220016 0980625              EXQUISITAS 18 X 300 GRS                                                7730110320837 N               18 
7737001220016 0980626              EXQUISITAS 45 X 120 GRS                                                7730110320844 N               45 
7737001220016 0980628              EXQUISITAS NARANJA 45X120 GRS                                          7730110320875 N               45 
7737001220016 0980629              SUSPIROS MARMOLADA 36X115 GRS                                          7730110321421 N               36 
7737001220016 0980630              SUSPIROS CLASICA 36X115 GRS                                            7730110321520 N               36 
7737001220016 0980631              SURTIDO FIESTA 18X300 GRS                                              7730110322053 N               18 
7737001220016 0980632              LULU CHANTILLY 55X115 GRS                                              7730110331932 N               55 
7737001220016 0980633              LULU FRUTILLA 55X115 GRS                                               7730110332038 N               55 
7737001220016 0980637              WAFFLE SENSACION CHO 40X140 GR                                         7730110000395 N               40 
7737001220016 0980638              WAFFLE SENSACION DDL 40X140 GR                                         7730110000401 N               40 
7737001220016 0980639              WAFFLE LULU CHOC 40X140 GRS                                            7730110332106 N               40 
7737001220016 0980640              WAFFLE LULU FRU 40X140 GRS                                             7730110332045 N               40 
7737001220016 0980641              WAFFLE LULU CHANT 40X140 GRS                                           7730110000449 N               40 
7737001220016 0980733              MARIA MINIAT ANSELMI 24X300 GR                                         7730110000463 N               24 
7737001220016 0984550              LACTA LECHE 12 X 170 GRS                                               7896019621755 N               12 
7737001220016 0984608              LACTA AMARO 12 X 170 GRS                                               7896019621762 N               12 
7737001220016 0984722              DIAMANTE NEGRO  170 GRS.                                               7896019352710 N               12 
7737001220016 0984759              MILKA BLANCO 12 X 170 GRS                                              7896019352703 N               12 
7737001220016 588420               ALF MILKA XTREME CHOCO 36X61GR                                         7622300202897 N               36 
7737001220016 604610               SALVADO FAMOSA 310G - 26 U                                             7622300251024 N               26 
7737001220016 604612               SALVADO S/S FAMOSA 290G  26 U                                          7622300251031 N               26 
7737001220016 977795               CLIGHT MANZ VERDE 16X18SB X8GR                                         7790050001227 N               16 
