GLN Proveedor CPP                  Descripción                                                            Marca                          División                              GTIN13 Unid/c Promo F alta         Estado 
7730962840019 1348300500           PIMENTON MC3 500 G                                                     MONTE CUDINE                                                  7730177001014      1 N     20150520T1102  A      
7730962840019 1348301000           PIMENTON MC3 1 KG                                                      MONTE CUDINE                                                  7730177001007      1 N     20150520T1102  A      
7730962840019 1351000500           PIMIENTA BLANCA MOLIDA 500 G                                           MONTE CUDINE                                                  7730177000994      1 N     20150520T1102  A      
7730962840019 1351001000           PIMIENTA BLANCA MOLIDA 1 KG                                            MONTE CUDINE                                                  7730177000987      1 N     20150520T1102  A      
7730962840019 1351006040           PIMIENTA BLANCA MOLIDA 6 X 40 G                                        MONTE CUDINE                                                  7730177000772      6 N     20150520T1102  A      
7730962840019 1351010040           PIMIENTA BLANCA MOLIDA T.INGLESA 10X40 G                               TIENDA INGLESA                                                7730127003396     10 N     20150520T1102  A      
7730962840019 1351025005           PIMIENTA BLANCA MOLIDA 25 X 5 G                                        MONTE CUDINE                                                       77304483     25 N     20150520T1102  A      
7730962840019 1351025025           PIMIENTA BLANCA MOLIDA 25 X 25 G                                       MONTE CUDINE                                                  7730177000246     25 N     20150520T1102  A      
7730962840019 1351025050           PIMIENTA BLANCA MOLIDA 25 X 50 G                                       MONTE CUDINE                                                  7730177000208     25 N     20150520T1102  A      
7730962840019 1351050005           PIMIENTA BLANCA MOLIDA 50 X 5 G                                        MONTE CUDINE                                                       77304483     50 N     20150520T1102  A      
7730962840019 1351125025           PIMIENTA BLANCA EN GRANO 25 X 25 G                                     MONTE CUDINE                                                  7730177000437     25 N     20150520T1102  A      
7730962840019 1357500250           CONDIM.A BASE PIMIENTA BCA LA ROSA 250 G                               LA ROSA                                                       7730177002936      1 N     20150520T1102  A      
7730962840019 1357500500           CONDIM.A BASE PIMIENTA BCA LA ROSA 500 G                               LA ROSA                                                       7730177001984      1 N     20150520T1102  A      
7730962840019 1357501000           CONDIM.A BASE PIMIENTA BCA LA ROSA 1 KG                                LA ROSA                                                       7730177001977      1 N     20150520T1102  A      
7730962840019 1361001000           PIMIENTA NEGRA MOLIDA 1 KG                                             MONTE CUDINE                                                  7730177001755      1 N     20150520T1102  A      
7730962840019 1361006040           PIMIENTA NEGRA MOLIDA 6 X 40 G                                         MONTE CUDINE                                                  7730177000765      6 N     20150520T1102  A      
7730962840019 1361025025           PIMIENTA NEGRA MOLIDA 25 X 25 G                                        MONTE CUDINE                                                  7730177000307     25 N     20150520T1102  A      
7730962840019 1361101000           PIMIENTA NEGRA EN GRANO 1 KG                                           MONTE CUDINE                                                  7730177001298      1 N     20150520T1102  A      
7730962840019 1361125025           PIMIENTA NEGRA EN GRANO 25 X 25 G                                      MONTE CUDINE                                                  7730177000444     25 N     20150520T1102  A      
7730962840019 1390025025           RISOTTO ESPAÑOLA 25 X 25 G                                             MONTE CUDINE                                                  7730177004213     25 N     20150520T1102  A      
7730962840019 1410001000           SAL DE AJO 1 KG                                                        MONTE CUDINE                                                  7730177003544      1 N     20150520T1102  A      
7730962840019 1410006075           SAL DE AJO 6 X 75 G                                                    MONTE CUDINE                                                  7730177000789      6 N     20150520T1102  A      
7730962840019 1420001000           SAL DE APIO BL 1 KG                                                    MONTE CUDINE                                                  7730177003568      1 N     20150520T1102  A      
7730962840019 1420006070           SAL DE APIO 6 X 70 G                                                   MONTE CUDINE                                                  7730177000802      6 N     20150520T1102  A      
